Bank;CardCompany;CloseDate;ExpirationDate;TotalARS;TotalUSD;CardNumber;CardOwner;CardTotalARS;CardTotalUSD;MovementType;OriginalDate;ReceiptNumber;Detail;CurrentInstallment;TotalInstallments;AmountARS;AmountUSD
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;;;;;PastPayment;;;SALDO ANTERIOR;;;-10.000,00;0,00
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;;;;;Tax;2025-01-24;;IVA DEMO;;;500,00;0,00
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-01-10;1001;SUPERMARKET DEMO;;;12.345,67;0,00
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-01-12;1002;STREAMING DEMO;;;2.000,00;0,00
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;1111;OWNER B;0,00;0,00;CardMovement;2025-01-15;1003;UNMAPPED MERCHANT;;;1.111,00;0,00
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-01-20;1010;REFUNDABLE DEMO;;;1.234,00;0,00
DEMO_BANK;VISA;2025-01-25;2025-02-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-01-22;1011;PHONE DEMO;1;3;5.000,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;;;;;PastPayment;;;SALDO ANTERIOR;;;-15.000,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;;;;;Tax;2025-02-24;;IMPUESTO DEMO;;;800,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-02-03;2001;TRANSPORT DEMO;;;3.500,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-02-07;2002;SUPERMARKET DEMO;;;8.000,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-02-09;2003;PHONE DEMO;2;3;5.000,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-02-10;2010;REFUNDABLE DEMO;;;-1.234,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-02-12;2011;SAME MONTH PAIR DEMO;;;777,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-02-13;2012;SAME MONTH PAIR DEMO;;;-777,00;0,00
DEMO_BANK;VISA;2025-02-25;2025-03-10;0,00;0,00;1111;OWNER B;0,00;0,00;CardMovement;2025-02-11;2004;SUPERMARKET DEMO;;;4.444,00;0,00
DEMO_BANK;VISA;2025-03-25;2025-04-10;0,00;0,00;;;;;PastPayment;;;SALDO ANTERIOR;;;-9.000,00;0,00
DEMO_BANK;VISA;2025-03-25;2025-04-10;0,00;0,00;;;;;Tax;2025-03-24;;IVA DEMO;;;600,00;0,00
DEMO_BANK;VISA;2025-03-25;2025-04-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-03-01;3000;SUPERMARKET DEMO;;;7.777,00;0,00
DEMO_BANK;VISA;2025-03-25;2025-04-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-03-02;3003;SUPERMARKET  DEMO;;;1.000,00;0,00
DEMO_BANK;VISA;2025-03-25;2025-04-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-03-06;3002;SOFTWARE DEMO USD;;;0,00;50,00
DEMO_BANK;VISA;2025-03-25;2025-04-10;0,00;0,00;0000;OWNER A;0,00;0,00;CardMovement;2025-03-09;3004;PHONE DEMO;3;3;5.000,00;0,00
DEMO_BANK;AMEX;2025-03-25;2025-04-10;0,00;0,00;2222;OWNER A;0,00;0,00;CardMovement;2025-03-05;3001;AMEX MERCHANT DEMO;;;6.500,00;0,00
